"CV-78K0R1","R20UT2140E","3.2.4","bit type variables"
"UB-EIO8","CERT-C","EXP30-C",""
"UB-EIO9","C11","6.7.3","6"
"UB-EIO9","C11","J.2","1 item 65"
"UB-EIO9","CERT-C","EXP32-C",""
"UB-ESR1","C11","6.7.4",""
"UB-ESR1","C11","J.2","1 item 71"
"UB-ESR1","CERT-C","MSC15-C",""
"UB-FD4","C11","5.1.2.2.1","1"
"UB-FD4","C11","J.2","1 item 4"
"UB-FD4","CERT-C","MSC15-C",""
"UB-FD5","C11","5.1.2.2.1","1"
"UB-FD5","C11","J.2","1 item 4"
"UB-FD5","CERT-C","MSC15-C",""
"UB-FD6","C11","5.1.2.2.1","1"
"UB-FD6","C11","J.2","1 item 4"
"UB-FD6","CERT-C","MSC15-C",""
"UB-FD7","C11","5.1.2.2.1","1"
"UB-FD7","C11","J.2","1 item 4"
"UB-FD7","CERT-C","MSC15-C",""
"UB-FD8","C11","5.1.2.2.1","1"
"UB-FD8","C11","J.2","1 item 4"
"UB-FD8","CERT-C","MSC15-C",""
"UB-FD9","C11","5.1.2.2.1","1"
"UB-FD9","C11","J.2","1 item 4"
"UB-FD9","CERT-C","MSC15-C",""
"UB-PTHREAD1","CERT-C","MSC15-C",""
"UB-PTHREAD1","POSIX 2008","pthread_mutex_init",""
"UB-PTHREAD2","CERT-C","CON31-C",""
"UB-PTHREAD2","POSIX 2008","pthread_mutex_destroy",""
"UB-PTHREAD3","CERT-C","MSC15-C",""
"UB-PTHREAD3","POSIX 2008","pthread_mutex_destroy",""
"UB-PTHREAD4","CERT-C","MSC15-C",""
"UB-PTHREAD4","POSIX 2008","pthread_mutex_lock",""
"UB-PTHREAD5","CERT-C","MSC15-C",""
"UB-PTHREAD5","POSIX 2008","pthread_mutex_lock",""
"UB-PTHREAD6","CERT-C","POS48-C",""
"UB-PTHREAD6","POSIX 2008","pthread_mutex_lock",""
"UB-PTHREAD7","CERT-C","MSC15-C",""
"UB-PTHREAD7","POSIX 2008","pthread_mutex_unlock",""
"UB-PTHREAD8","CERT-C","MSC15-C",""
"UB-PTHREAD8","POSIX 2008","pthread_mutex_trylock",""
"UB-SETJMP1","C11","7.13.2.1","2"
"UB-SETJMP1","C11","J.2","1 item 126"
"UB-SETJMP1","CERT-C","MSC22-C",""
"UB-STDARG1","C11","6.9.1","8"
"UB-STDARG1","C11","J.2","1 item 87"
